
#1999,Robert Kennedy Jr.,15-Jun-23
#1998,Ali Siddiq,14-Jun-23
#1997,Cameron Hanes,13-Jun-23
#1996,Andy Stumpf,8-Jun-23
#1995,Chad Stahelski,7-Jun-23
#1994,Theo Von,6-Jun-23
#1993,"Josh Dubin, Bruce Bryan",1-Jun-23
MMA Show #140,Gillian Robertson,31-May-23
#1992,Oliver Stone,30-May-23
#1991,"Ari Shaffir, Shane Gillis, Mark Normand",26-May-23
#1990,Bert Kreischer,25-May-23
#1989,Andrew Dice Clay,24-May-23
MMA Show #139,Bas Rutten,23
#1988,James Reed,18-May-23
#1987,Jelly Roll,17-May-23
#1986,Jack Carr,16-May-23
#1985,Steven Wright,13-May-23
#1984,Brian Redban,11-May-23
#1983,"Kim Congdon, Sara Weinshenk",10-May-23
#1982,John Hennessey,5-May-23
#1981,Pauly Shore,3-May-23
#1980,Michio Kaku,2-May-23
#1979,Dr. Aseem Malhotra,29-Apr-23
#1978,Ms. Pat,28-Apr-23
#1977,Dave Smith,27-Apr-23
#1976,James Fox,26-Apr-23
#1975,Dan Flores,25-Apr-23
#1974,Ric Flair,22-Apr-23
#1973,Joey Diaz,21-Apr-23
#1972,Jim Breuer,20-Apr-23
#1971,Howie Mandel,19-Apr-23
#1970,Bill Ottman,13-Apr-23
#1969,Sam Tallent,12-Apr-23
#1968,Jason Everman,11-Apr-23
MMA Show #138,Cory Sandhagen,7-Apr-23
#1967,Mike Vecchione,6-Apr-23
#1966,"Big Jay Oakerson, Ari Shaffir",5-Apr-23
#1965,David Choe,4-Apr-23
#1964,Rick Doblin,31-Mar-23
#1963,Michael Shellenberger,30-Mar-23
#1962,Eddie Huang,29-Mar-23
#1961,Peter Attia,28-Mar-23
#1960,Andrew Schulz,24-Mar-23
#1959,David Buss,23-Mar-23
MMA Show #137,Jorge Masvidal,22-Mar-23
#1958,Andrew Huberman,21-Mar-23
#1957,Shane Gillis,17-Mar-23
#1956,Luke Combs,16-Mar-23
#1955,Cliff Gray,15-Mar-23
#1954,Bert Kreischer,14-Mar-23
#1953,Duncan Trussell,10-Mar-23
#1952,Michael Malice,8-Mar-23
#1951,Coffeezilla,7-Mar-23
#1950,Derek Wolfe,3-Mar-23
#1949,Russell Brand,2-Mar-23
#1948,"Tony Hinchcliffe, Brian Redban",1-Mar-23
#1947,Chris Distefano,28-Feb-23
#1946,"Ari Shaffir, Shane Gillis, Mark Normand",23-Feb-23
#1945,Eric Weinstein,22-Feb-23
#1944,Ryan Long,21-Feb-23
#1943,Joel Turner,17-Feb-23
#1942,Mark Greaney,16-Feb-23
#1941,Bridget Phetasy,15-Feb-23
#1940,Matt Taibbi,13-Feb-23
Fight Companion,"Bryan Callen, Brendan Schaub, Eddie Bravo",11-Feb-23
MMA Show #136,Jamahal Hill,10-Feb-23
#1939,B-Real,9-Feb-23
#1938,Mariana van Zeller,8-Feb-23
#1937,Punkie Johnson,7-Feb-23
#1936,"Krystal Ball, Saagar Enjeti",4-Feb-23
#1935,Kyle Kulinski,3-Feb-23
MMA Show #135,Paul Felder,1-Feb-23
#1934,Lex Fridman,31-Jan-23
#1933,Jordan Peterson,28-Jan-23
#1932,Merlin Tuttle,27-Jan-23
#1931,Mike Glover,26-Jan-23
#1930,Adam Curry,25-Jan-23
#1929,Louis C.K.,21-Jan-23
MMA Show #134,Belal Muhammad,18-Jan-23
#1928,"Jimmy Corsetti, Ben van Kerkwyk",18-Jan-23
#1927,Forrest Galante,17-Jan-23
#1926,"Matt McCusker, Shane Gillis",14-Jan-23
#1925,Sonny Side,13-Jan-23
#1924,Andrew Santino,12-Jan-23
#1923,Mike Baker,11-Jan-23
#1922,"Sam Golbach, Colby Brock",10-Jan-23
#1921,Peter Zeihan,7-Jan-23
#1920,Dave Portnoy,5-Jan-23
#1919,Bret Weinstein,4-Jan-23
#1918,John Reeves,30-Dec-22
#1917,Fedor Gorst,29-Dec-22
#1916,Jon Bernthal,28-Dec-22
#1915,Brian Simpson,27-Dec-22
#1914,Siddharth Kara,22-Dec-22
#1913,Brian Redban,21-Dec-22
#1912,Steven Rinella,20-Dec-22
#1911,Mark Boal,15-Dec-22
#1910,Mark Laita,14-Dec-22
#1909,Stavros Halkias,13-Dec-22
#1908,Erika Thompson,8-Dec-22
#1907,"Ari Shaffir, Shane Gillis, Mark Normand",7-Dec-22
#1906,David Goggins,6-Dec-22
#1905,Derek from More Plates More Dates,3-Dec-22
#1904,Neil deGrasse Tyson,30-Nov-22
